,Date,Govt,ESG,Shariah,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99257.33147137235,100725.35038111631,100000.0,299982.68185248866,True
2,2021-01-06,97219.75371334265,101524.46520776986,99951.02840352595,298695.2473246385,True
3,2021-01-07,96362.82848800306,103122.69486107696,99657.19882468169,299142.7221737617,False
4,2021-01-08,96051.79636917608,103737.39857388739,99853.08521057786,299642.28015364136,False
5,2021-01-11,95893.10651263171,103122.69486107696,99510.28403525954,298526.0854089682,False
6,2021-01-12,95816.9353814904,103294.81190066387,99461.31243878549,298573.0597209398,False
7,2021-01-13,96896.02640599213,103479.223014507,99853.08521057786,300228.334631077,False
8,2021-01-14,95988.32042655833,103085.81263830831,99510.28403525954,298584.41710012616,True
9,2021-01-15,96369.17608226482,102458.8148512417,99559.25563173357,298387.2465652401,True
10,2021-01-19,96680.2082010918,103307.10597492008,99853.08521057786,299840.39938658976,False
11,2021-01-20,96775.42211501842,104647.16006884682,99706.17042115572,301128.752605021,True
12,2021-01-21,96096.2295290085,104634.8659945906,99657.19882468169,300388.29434828076,False
13,2021-01-22,96407.26164783548,104352.1022866978,99804.11361410382,300563.4775486371,False
14,2021-01-25,97543.48102069314,104720.92451438407,99902.0568070519,302166.4623421291,False
15,2021-01-26,97359.4007871017,104376.69043521023,99608.22722820763,301344.3184505196,True
16,2021-01-27,97606.95696331092,101967.05188099336,99608.22722820763,299182.2360725119,False
17,2021-01-28,97067.41145106005,102815.34300467174,99657.19882468169,299539.95328041347,True
18,2021-01-29,96483.43277897677,100860.5851979346,99510.28403525954,296854.3020121709,True
19,2021-02-01,96483.43277897677,102594.04966805999,99853.08521057786,298930.56765761465,True
20,2021-02-02,95861.36854132285,103909.5156134743,99755.14201762977,299526.02617242694,False
21,2021-02-03,95010.79091024502,104093.92672731743,99510.28403525954,298615.001672822,True
22,2021-02-04,30017.816448566053,239805.6942499353,30017.816448566053,299841.3271470674,True
23,2021-02-05,30036.422100355798,240296.78615579012,30036.903328633925,300370.11158477986,True
24,2021-02-08,30168.312084583533,242309.27523374953,30022.17935641401,302499.76667474705,False
25,2021-02-09,30190.631928068222,241917.9579130352,30007.45538419409,302116.0452252975,False
26,2021-02-10,30391.51051943046,241973.86038742293,30051.62730085385,302416.99820770725,False
27,2021-02-11,30290.508202118766,242325.37571227638,30290.03793895955,302905.92185335467,True
28,2021-02-12,29914.31700868483,243609.44059912863,30186.10153426704,303709.8591420805,False
29,2021-02-16,30275.046478097553,242216.7270010101,30276.492574500546,302768.2660536082,True
30,2021-02-17,30467.30880128282,241938.79616107774,30306.42484595334,302712.52980831394,False
31,2021-02-18,30344.010137500958,240854.86588534174,30471.0523389437,301669.9283617864,False
32,2021-02-19,30104.22853216331,240837.0109217828,30104.638178369278,301045.8776323154,True
33,2021-02-22,29875.19517486549,238668.81068495233,30045.17222641201,298589.17808622983,False
34,2021-02-23,29793.210831658027,238345.18821948682,29793.221265764678,297931.6203169095,True
35,2021-02-24,29597.769722301735,241211.11798677695,29748.973907449188,300557.86161652784,False
36,2021-02-25,29114.420742173257,234950.59179609464,29512.987996433232,293578.0005347011,False
