,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,0.7644912361964429
1,2021-04-01,2021-06-30,6.819540709932675
2,2021-07-01,2021-09-30,-0.1483173910513223
3,2021-10-01,2021-12-31,7.771835709564861
4,2022-01-03,2022-03-31,-8.317621733454699
5,2022-04-01,2022-06-30,-15.264779909683545
6,2022-07-01,2022-09-30,-6.888629908830291
7,2022-10-03,2022-12-30,4.334225907974264
8,2023-01-03,2023-03-31,6.305386524538366
9,2023-04-03,2023-06-30,4.8223560616839976
10,2023-07-03,2023-09-29,-5.176035658063107
11,2023-10-02,2023-12-29,11.437859812570164
