,Date,Govt,ESG,Shariah,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99257.33147137235,100725.35038111631,100000.0,299982.68185248866,True
2,2021-01-06,97219.75371334265,101524.46520776986,99951.02840352595,298695.2473246385,True
3,2021-01-07,96362.82848800306,103122.69486107696,99657.19882468169,299142.7221737617,False
4,2021-01-08,96051.79636917608,103737.39857388739,99853.08521057786,299642.28015364136,False
5,2021-01-11,95893.10651263171,103122.69486107696,99510.28403525954,298526.0854089682,False
6,2021-01-12,95816.9353814904,103294.81190066387,99461.31243878549,298573.0597209398,False
7,2021-01-13,96896.02640599213,103479.223014507,99853.08521057786,300228.334631077,False
8,2021-01-14,95988.32042655833,103085.81263830831,99510.28403525954,298584.41710012616,True
9,2021-01-15,96369.17608226482,102458.8148512417,99559.25563173357,298387.2465652401,True
10,2021-01-19,96680.2082010918,103307.10597492008,99853.08521057786,299840.39938658976,False
11,2021-01-20,96775.42211501842,104647.16006884682,99706.17042115572,301128.752605021,True
12,2021-01-21,96096.2295290085,104634.8659945906,99657.19882468169,300388.29434828076,False
13,2021-01-22,96407.26164783548,104352.1022866978,99804.11361410382,300563.4775486371,False
14,2021-01-25,97543.48102069314,104720.92451438407,99902.0568070519,302166.4623421291,False
15,2021-01-26,97359.4007871017,104376.69043521023,99608.22722820763,301344.3184505196,True
16,2021-01-27,97606.95696331092,101967.05188099336,99608.22722820763,299182.2360725119,False
17,2021-01-28,97067.41145106005,102815.34300467174,99657.19882468169,299539.95328041347,True
18,2021-01-29,96483.43277897677,100860.5851979346,99510.28403525954,296854.3020121709,True
19,2021-02-01,96483.43277897677,102594.04966805999,99853.08521057786,298930.56765761465,True
20,2021-02-02,95861.36854132285,103909.5156134743,99755.14201762977,299526.02617242694,False
21,2021-02-03,95010.79091024502,104093.92672731743,99510.28403525954,298615.001672822,True
22,2021-02-04,239779.2946424759,30017.816448566053,30017.816448566053,299814.927539608,True
23,2021-02-05,238281.5246998307,29785.35027065912,29785.35027065912,297852.22524114896,True
24,2021-02-08,239327.81930940234,30034.803012253567,29770.749608761744,299133.37193041766,False
25,2021-02-09,239504.88455102214,29986.298312499093,29756.14894686436,299247.33181038557,False
26,2021-02-10,241098.4717256005,29993.227555321155,29799.950932556505,300891.6502134782,False
27,2021-02-11,239712.20765869654,29964.02595733708,29963.579547301146,299639.8131633348,True
28,2021-02-12,236735.11592824146,30122.803194295666,29860.76334297217,296718.6824655093,False
29,2021-02-16,234337.5263074337,29292.56871728286,29292.56871728286,292922.6637419994,True
30,2021-02-17,235825.69172610447,29258.95704921942,29321.52825135827,294406.1770266821,False
31,2021-02-18,234871.32477282648,29127.871543772028,29480.80568877306,293480.00200537156,False
32,2021-02-19,232152.66198088025,29019.208999735005,29019.208999735005,290191.0799803503,True
33,2021-02-22,230386.44154702,28757.95573311689,28961.887105414542,288106.2843855514,False
34,2021-02-23,229888.0704530443,28735.948112814815,28736.06077500433,287360.07934086345,True
35,2021-02-24,228380.02287230553,29081.47725776227,28693.383457021653,286154.8835870895,False
36,2021-02-25,224650.4428339194,28326.680581906174,28465.771094447362,281442.89451027295,False
