,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,-6.697909280582991
1,2021-04-01,2021-06-30,0.7993218633751739
2,2021-07-01,2021-09-30,-2.284604441001224
3,2021-10-01,2021-12-31,0.8825948035519572
4,2022-01-03,2022-03-31,-6.559953880637587
5,2022-04-01,2022-06-30,-11.324650553368809
6,2022-07-01,2022-09-30,-9.178711035751927
7,2022-10-03,2022-12-30,-7.180078847470854
8,2023-01-03,2023-03-31,3.938872810504595
9,2023-04-03,2023-06-30,-2.7775183378522077
10,2023-07-03,2023-09-29,-9.955051468649252
11,2023-10-02,2023-12-29,11.66675125690809
