,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,1.1861280715972535
1,2021-04-01,2021-06-30,-1.0031334718639295
2,2021-07-01,2021-09-30,0.2935149815964602
3,2021-10-01,2021-12-31,-0.795490968264816
4,2022-01-03,2022-03-31,0.4656971403099815
5,2022-04-01,2022-06-30,5.560539714625011
6,2022-07-01,2022-09-30,6.002917970481407
7,2022-10-03,2022-12-30,-2.2711900805671603
8,2023-01-03,2023-03-31,-0.7056801842127216
9,2023-04-03,2023-06-30,4.206822824114267
10,2023-07-03,2023-09-29,1.6857091857586006
11,2023-10-02,2023-12-29,-0.47628417290914976
