,Date,CNY,INR,USD
0,2021-01-04,300000.0,300000.0,300000.0
1,2021-01-05,298531.3751668892,296784.07350689126,300944.04159255704
2,2021-01-06,298831.77570093464,296784.07350689126,301149.26802572166
3,2021-01-07,299833.1108144193,296784.07350689126,301108.22273908876
4,2021-01-08,300734.3124165555,297702.9096477795,301477.6303187851
5,2021-01-11,302202.9372496663,297243.49157733534,301149.2680257217
6,2021-01-12,300567.4232309747,297702.9096477795,301723.9020385826
7,2021-01-13,301468.6248331109,296784.07350689126,300328.3622930634
8,2021-01-14,301201.60213618167,297243.49157733534,300328.3622930634
9,2021-01-15,303004.00534045405,297243.49157733534,300000.00000000006
10,2021-01-19,302069.4259012017,298162.32771822356,300410.45286632923
11,2021-01-20,301969.2923898533,297702.9096477795,300410.45286632923
12,2021-01-21,300834.445927904,297243.49157733534,299261.1848406075
13,2021-01-22,301201.6021361817,296784.07350689126,299425.36598713923
14,2021-01-25,301702.26969292405,297702.9096477795,299630.5924203038
15,2021-01-26,300967.95727636863,297702.9096477795,299507.45656040503
16,2021-01-27,302570.09345794405,296784.07350689126,299302.2301272404
17,2021-01-28,301935.9145527371,297702.9096477795,299794.77356683544
18,2021-01-29,302336.44859813096,296324.6554364472,299384.3207005062
19,2021-02-01,303805.0734312418,295405.81929555896,299261.18484060746
20,2021-02-02,304405.8744993326,297243.4915773354,300123.13585989876
21,2021-02-03,304138.8518024034,296784.0735068913,299302.2301272404
22,2021-02-04,305507.3431241657,296784.0735068913,299055.9584074429
23,2021-02-05,303871.8291054742,297243.49157733546,299425.3659871392
24,2021-02-08,303504.6728971965,297243.49157733546,298727.5961143795
25,2021-02-09,301869.1588785049,296324.6554364473,299343.2754138733
26,2021-02-10,301635.5140186918,295405.8192955591,299014.9131208099
27,2021-02-11,301802.40320427256,296784.0735068914,298850.7319742782
28,2021-02-12,302002.6702269695,296784.0735068914,298440.27910794906
29,2021-02-16,302102.803738318,296784.0735068914,298152.96210151864
30,2021-02-17,303571.4285714288,296784.0735068914,299343.27541387326
31,2021-02-18,302369.82643524726,296784.0735068914,298809.68668764527
32,2021-02-19,301602.1361815757,298162.3277182237,298029.8262416198
33,2021-02-22,300433.9118825103,298162.3277182237,297783.5545218223
34,2021-02-23,300967.95727636875,296784.0735068913,297332.05636886024
35,2021-02-24,301001.33511348494,296784.0735068913,297085.78464906267
36,2021-02-25,300834.4459279041,296784.0735068913,297167.8752223286
37,2021-02-26,303504.67289719655,296324.65543644724,300246.27171979746
38,2021-03-01,303871.8291054743,297702.90964777954,302093.3096182787
39,2021-03-02,303037.3831775704,296784.0735068913,300902.99630592414
40,2021-03-03,303571.42857142887,297243.49157733546,300779.8604460254
41,2021-03-04,305841.1214953274,297243.49157733546,299138.04898070864
42,2021-03-05,307009.3457943928,297243.49157733546,300164.1811465316
43,2021-03-08,308110.8144192259,298621.74578866776,300164.1811465316
44,2021-03-09,306942.5901201604,299540.581929556,300985.08687919
45,2021-03-10,306375.16688918584,299081.1638591119,298727.5961143795
46,2021-03-11,305140.1869158881,298621.7457886678,298440.27910794906
47,2021-03-12,306008.01068090816,298162.32771822374,298152.96210151864
48,2021-03-15,306508.6782376505,298621.7457886678,298317.1432480503
49,2021-03-16,306642.1895861151,298621.7457886678,297660.41866192356
50,2021-03-17,305073.4312416559,299081.1638591119,297660.41866192356
51,2021-03-18,306575.4339118828,298621.7457886678,296757.42235599936
52,2021-03-19,306809.0787716959,298621.7457886678,298276.09796141734
53,2021-03-22,306408.54472630203,298621.7457886678,297167.8752223286
54,2021-03-23,308210.9479305744,299081.1638591119,297085.78464906267
55,2021-03-24,308845.1268357813,299081.1638591119,298029.8262416198
56,2021-03-25,310013.35113484674,299081.1638591119,298194.00738815154
57,2021-03-26,309646.19492656906,300459.4180704442,298029.8262416198
58,2021-03-29,310213.6181575437,300459.4180704442,297373.10165549314
59,2021-03-30,311415.22029372526,301837.6722817765,298563.41496784776
60,2021-03-31,311181.57543391216,301837.6722817765,301477.63031878497
61,2021-04-01,310180.2403204275,300918.8361408883,300451.498152962
62,2021-04-05,309078.77169559436,301837.6722817765,301190.3133123545
63,2021-04-06,308210.94793057436,301837.6722817765,300779.8604460254
64,2021-04-07,308611.4819759682,300459.41807044414,301641.8114653166
65,2021-04-08,307276.36849132203,300459.41807044414,305376.93254891224
66,2021-04-09,307610.1468624836,300918.8361408882,305951.5665617731
67,2021-04-12,307543.39118825126,300918.8361408882,306731.4270077986
68,2021-04-13,306575.43391188275,300918.8361408882,307798.60446025437
69,2021-04-14,306041.3885180243,300459.41807044414,308578.46490627987
70,2021-04-15,305974.63284379203,300000.00000000006,307962.7856067861
71,2021-04-16,305607.47663551435,299540.5819295559,306731.4270077986
72,2021-04-19,303971.96261682274,299081.16385911184,306033.6571350389
73,2021-04-20,304539.3858477974,299081.16385911184,307347.1063072923
74,2021-04-21,304272.36315086816,298621.74578866776,309686.6876453687
75,2021-04-22,304839.7863818428,298162.3277182237,309604.5970721029
76,2021-04-23,303271.0280373835,298162.3277182237,308209.05732658366
77,2021-04-26,303104.13885180274,298162.3277182237,307306.06102065946
78,2021-04-27,303437.9172229643,297702.9096477796,307059.78930086194
79,2021-04-28,302436.58210947964,297702.9096477796,306074.7024216719
80,2021-04-29,302436.58210947964,297702.9096477796,305007.524969216
81,2021-04-30,304672.897196262,297243.49157733546,304186.6192365577
82,2021-05-03,303571.4285714289,297243.49157733546,304104.5286632918
83,2021-05-04,304706.2750333782,297243.49157733546,303078.3964974689
84,2021-05-05,304773.03070761054,297243.49157733546,302832.12477767136
85,2021-05-06,303571.428571429,297243.49157733546,302914.21535093716
86,2021-05-07,301168.2242990658,296784.0735068914,302175.4001915446
87,2021-05-10,301101.46862483345,295405.8192955591,300820.9057326583
88,2021-05-11,300867.82376502035,294946.401225115,301682.8567519495
89,2021-05-12,302770.3604806412,295405.8192955591,301190.3133123545
90,2021-05-13,302903.87182910583,296784.0735068914,302421.67191134207
91,2021-05-14,301468.6248331111,296324.6554364473,301436.585032152
92,2021-05-17,301134.8464619496,295865.2373660032,300779.8604460253
93,2021-05-18,299566.0881174903,295865.2373660032,300738.81515939237
94,2021-05-19,301034.71295060107,294946.401225115,300164.18114653154
95,2021-05-20,299766.3551401872,295405.8192955591,300533.5887262278
96,2021-05-21,300467.2897196264,295405.8192955591,299712.6829935694
97,2021-05-24,299833.11081441946,295405.8192955591,299261.1848406073
98,2021-05-25,299198.93190921255,294946.401225115,298973.86783417687
99,2021-05-26,300534.04539385875,294486.9831546709,298809.6866876452
100,2021-05-27,300300.40053404565,293568.1470137827,298276.0979614173
101,2021-05-28,300500.66755674256,293108.7289433386,298317.1432480502
102,2021-06-01,299833.11081441946,292649.31087289454,297537.2828020247
