,Date,CNY,INR,USD,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99510.45838896307,98928.02450229709,100314.68053085236,298753.1634221125,True
2,2021-01-06,99610.59190031153,98928.02450229709,100383.08934190724,298921.7057445159,True
3,2021-01-07,99944.37027147308,98928.02450229709,100369.40757969626,299241.80235346645,True
4,2021-01-08,100244.77080551848,99234.30321592648,100492.54343959501,299971.61746104,True
5,2021-01-11,100734.31241655542,99081.16385911178,100383.08934190724,300198.56561757444,True
6,2021-01-12,100189.14107699155,99234.30321592648,100574.63401286087,299998.0783057789,True
7,2021-01-13,100489.54161103694,98928.02450229709,100109.45409768778,299527.0202110218,False
8,2021-01-14,100400.53404539387,99081.16385911178,100109.45409768778,299591.15200219344,True
9,2021-01-15,101001.33511348465,99081.16385911178,100000.0,300082.4989725964,False
10,2021-01-19,100689.80863373388,99387.44257274119,100136.81762210972,300214.0688285848,False
11,2021-01-20,100656.43079661771,99234.30321592648,100136.81762210972,300027.55163465394,False
12,2021-01-21,100278.14864263462,99081.16385911178,99753.72828020249,299113.0407819489,True
13,2021-01-22,100400.53404539387,98928.02450229709,99808.45532904638,299137.0138767373,False
14,2021-01-25,100567.42323097464,99234.30321592648,99876.86414010124,299678.59058700234,True
15,2021-01-26,100322.65242545617,99234.30321592648,99835.81885346833,299392.774494851,True
16,2021-01-27,100856.69781931465,98928.02450229709,99767.41004241345,299552.1323640252,False
17,2021-01-28,29981.1199255784,239497.64247455567,29981.1199255784,299459.8823257125,True
18,2021-01-29,30020.891475335968,238388.85709272904,29940.07239008336,298349.82095814834,False
19,2021-02-01,29774.414545872656,238193.9530957365,29774.414545872656,297742.7821874818,True
20,2021-02-02,29833.296051236943,239675.7195224596,29860.17270051034,299369.1882742069,False
21,2021-02-03,29807.12649329726,239305.27791577883,29778.49826752207,298890.90267659817,False
22,2021-02-04,29941.245477738128,239305.27791577883,29753.99593762559,299000.51933114254,False
23,2021-02-05,29924.383349559666,239397.94071223,29924.407815501672,299246.73187729134,True
24,2021-02-08,29914.019467313177,239312.67255846746,29913.935635150792,299140.62766093144,True
25,2021-02-09,29829.93884071372,238640.88574520042,29830.13199996794,298300.9565858821,True
26,2021-02-10,29750.517472636784,238003.88187794786,29750.517472636784,297504.9168232214,True
27,2021-02-11,29766.977867387606,239114.31989604095,29734.182253708776,298615.4800171373,False
28,2021-02-12,29786.730341088594,239114.31989604095,29693.344206388752,298594.3944435183,False
29,2021-02-16,29796.60657793909,239114.31989604095,29664.75757326474,298575.6840472447,False
30,2021-02-17,29883.896585828017,239071.17268662405,29883.644971496986,298838.7142439491,True
31,2021-02-18,29765.609584498736,239071.17268662405,29830.376442136025,298667.1587132588,False
32,2021-02-19,29690.03733364947,240181.4103306796,29752.522437685395,299623.9701020145,False
33,2021-02-22,29575.03608235712,240181.4103306796,29727.93696259572,299484.38337563246,False
34,2021-02-23,29627.60808294791,239071.17268662405,29682.863591597987,298381.64436116995,False
35,2021-02-24,29630.893832984835,239071.17268662405,29658.278116508318,298360.3446361172,False
36,2021-02-25,29834.659584291174,238681.6888354366,29834.789523508553,298351.13794323633,True
37,2021-02-26,29855.553815519932,149277.7690775996,119199.15885029196,298332.4817434115,True
38,2021-03-01,29979.399910327087,239612.4353932506,29979.619645198036,299571.45494877576,True
39,2021-03-02,29863.14593743438,238905.08685825742,29863.14180873906,298631.37460443086,True
40,2021-03-03,29915.774017068587,239274.90897413707,29850.921180526504,299041.60417173215,False
41,2021-03-04,30139.44335551395,239274.90897413707,29687.979471025814,299102.3318006768,False
42,2021-03-05,30254.56727971378,239274.90897413707,29789.818039463746,299319.29429331457,False
43,2021-03-08,30363.11269395933,240384.37532177605,29789.818039463746,300537.3060551991,False
44,2021-03-09,30247.988769759504,241124.01955353533,29871.288894214093,301243.2972175089,False
45,2021-03-10,30059.351291645464,240474.8103331636,30058.32166744305,300592.48329225206,True
46,2021-03-11,29938.18384445177,240105.41738334307,30029.41149271481,300073.01272050967,False
47,2021-03-12,29975.98542885836,239807.7038956531,29975.98542885836,299759.6747533698,True
48,2021-03-15,30025.029907635937,240177.20729148615,29992.49202876412,300194.7292278862,False
49,2021-03-16,30038.10843530996,240177.20729148615,29926.465629141076,300141.7813559372,False
50,2021-03-17,29884.435735140203,240546.7106873192,29926.465629141076,300357.6120516005,False
51,2021-03-18,30031.569171472947,240177.20729148615,29835.679329659404,300044.4557926185,False
52,2021-03-19,30054.45659490249,240177.20729148615,29988.36537878768,300220.02926517633,False
53,2021-03-22,30015.221011880425,240177.20729148615,29876.945829423807,300069.37413279037,False
54,2021-03-23,30191.78113547972,240546.7106873192,29868.69252947092,300607.18435226986,False
55,2021-03-24,30253.90414193132,240546.7106873192,29963.60547892904,300764.22030817956,False
56,2021-03-25,30368.341259079014,240546.7106873192,29980.1120788348,300895.164025233,False
57,2021-03-26,30332.375307975453,241655.22087481836,29963.60547892904,301951.2016617229,False
58,2021-03-29,30194.07590047145,241552.60720377148,30193.335121694818,301940.01822593773,True
59,2021-03-30,30311.031649601744,242660.6466863576,30314.19181162292,303285.87014758226,False
60,2021-03-31,30355.73300332479,242846.74928460308,30355.901926863866,303558.38421479176,True
61,2021-04-01,30258.052858510917,242107.48977384323,30252.580272926276,302618.1229052804,False
62,2021-04-05,30331.978299150232,242659.46067806406,30332.418941487904,303323.8579187022,True
63,2021-04-06,30246.812917316765,242659.46067806403,30291.082856803405,303197.35645218415,False
64,2021-04-07,30221.543526230642,241771.796251038,30221.543526230642,302214.8833034993,True
65,2021-04-08,30090.799232368518,241771.796251038,30595.765932120834,302458.36141552735,False
66,2021-04-09,30291.40958209694,242334.15884290755,30291.830181246605,302917.3986062511,True
67,2021-04-12,30284.835925503605,242334.15884290755,30369.04305667506,302988.0378250862,False
68,2021-04-13,30189.517904900218,242334.15884290755,30474.70278094557,302998.37952875334,False
69,2021-04-14,30136.92865215352,241964.18302788024,30551.915656374025,302653.02733640774,False
70,2021-04-15,30130.354995560185,241594.20721285287,30490.958123141034,302215.52033155406,False
71,2021-04-16,30094.199884296835,241224.23139782553,30369.04305667506,301687.47433879744,False
72,2021-04-19,29933.14529776007,240854.2555827982,30299.957852344334,301087.3587329026,False
73,2021-04-20,29989.02137880344,240854.2555827982,30430.00058990804,301273.2775515097,False
74,2021-04-21,29962.72675243009,240484.27976777084,30661.6392161934,301108.64573639433,False
75,2021-04-22,30018.602833473455,240114.30395274353,30653.511545095673,300786.41833131266,False
76,2021-04-23,29864.12190353004,240114.30395274353,30515.34113643423,300493.7669927078,False
77,2021-04-26,30038.315382804474,240309.85298457372,30038.79284691495,300386.96121429314,True
78,2021-04-27,30071.393584965914,239939.57586133093,30014.7200865194,300025.68953281624,False
79,2021-04-28,29982.9892619147,239864.13110779974,29982.855021033858,299829.9753907483,True
80,2021-04-29,29982.989261914703,239864.13110779974,29878.315094716727,299725.4354644312,False
81,2021-04-30,30204.69329905721,239493.9704116457,29797.89976678047,299496.5634774834,False
82,2021-05-03,30095.495788225824,239493.9704116457,29789.858233986844,299379.3244338584,False
83,2021-05-04,29939.131180024924,239513.0017724389,29938.507090060193,299390.640042524,True
84,2021-05-05,29945.69030614608,239513.0017724389,29914.18002579416,299372.8721043791,False
85,2021-05-06,29827.626035965237,239513.0017724389,29922.28904721617,299262.91685562034,False
86,2021-05-07,29857.694957614396,238866.8936092235,29858.33908068275,298582.9276475206,True
87,2021-05-10,29851.076827290195,237757.6046296141,29724.49974495027,297333.18120185455,False
88,2021-05-11,29827.913371155508,237387.84163641097,29809.67023132548,297025.42523889197,False
89,2021-05-12,30016.53008539512,237757.6046296141,29761.00138196821,297535.13609697745,False
90,2021-05-13,30029.766346043514,238866.8936092235,29882.673505361385,298779.3334606284,False
91,2021-05-14,29887.476544073277,238497.13061602038,29785.335806646846,298169.9429667405,False
92,2021-05-17,29854.385892452297,238127.36762281726,29720.444007503826,297702.19752277335,False
