,Date,CNY,INR,USD,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99510.45838896307,98928.02450229709,100314.68053085236,298753.1634221125,True
2,2021-01-06,99610.59190031153,98928.02450229709,100383.08934190724,298921.7057445159,True
3,2021-01-07,99944.37027147308,98928.02450229709,100369.40757969626,299241.80235346645,True
4,2021-01-08,100244.77080551848,99234.30321592648,100492.54343959501,299971.61746104,True
5,2021-01-11,100734.31241655542,99081.16385911178,100383.08934190724,300198.56561757444,True
6,2021-01-12,100189.14107699155,99234.30321592648,100574.63401286087,299998.0783057789,True
7,2021-01-13,100489.54161103694,98928.02450229709,100109.45409768778,299527.0202110218,False
8,2021-01-14,100400.53404539387,99081.16385911178,100109.45409768778,299591.15200219344,True
9,2021-01-15,101001.33511348465,99081.16385911178,100000.0,300082.4989725964,False
10,2021-01-19,100689.80863373388,99387.44257274119,100136.81762210972,300214.0688285848,False
11,2021-01-20,100656.43079661771,99234.30321592648,100136.81762210972,300027.55163465394,False
12,2021-01-21,100278.14864263462,99081.16385911178,99753.72828020249,299113.0407819489,True
13,2021-01-22,100400.53404539387,98928.02450229709,99808.45532904638,299137.0138767373,False
14,2021-01-25,100567.42323097464,99234.30321592648,99876.86414010124,299678.59058700234,True
15,2021-01-26,100322.65242545617,99234.30321592648,99835.81885346833,299392.774494851,True
16,2021-01-27,100856.69781931465,98928.02450229709,99767.41004241345,299552.1323640252,False
17,2021-01-28,29981.1199255784,239497.64247455567,29981.1199255784,299459.8823257125,True
18,2021-01-29,30020.891475335968,238388.85709272904,29940.07239008336,298349.82095814834,False
19,2021-02-01,29774.414545872656,238193.9530957365,29774.414545872656,297742.7821874818,True
20,2021-02-02,29833.296051236943,239675.7195224596,29860.17270051034,299369.1882742069,False
21,2021-02-03,29807.12649329726,239305.27791577883,29778.49826752207,298890.90267659817,False
22,2021-02-04,29941.245477738128,239305.27791577883,29753.99593762559,299000.51933114254,False
23,2021-02-05,29924.383349559666,149623.71294514375,119474.3402854011,299022.4365801045,True
24,2021-02-08,29870.786152810964,238743.0723795697,29870.786152810964,298484.6446851916,True
25,2021-02-09,29764.58700533319,238117.5118201203,29764.724180902733,297646.82300635625,True
26,2021-02-10,29685.278634224363,237481.9715695168,29685.278634224363,296852.52883796557,True
27,2021-02-11,29701.702933568293,238589.97454729062,29668.979236209696,297960.65671706863,False
28,2021-02-12,29721.412092781018,238589.97454729062,29628.230741173007,297939.61738124467,False
29,2021-02-16,29731.266672387374,238589.97454729062,29599.70679464733,297920.94801432535,False
30,2021-02-17,29818.365248415845,149091.82624207917,119049.71196535416,297959.90345584915,True
31,2021-02-18,29700.3376344584,149091.82624207917,118837.50214010394,297629.66601664154,False
32,2021-02-19,29624.93110331892,149784.2031441322,118527.34931858446,297936.4835660356,False
33,2021-02-22,29510.18203419363,149784.2031441322,118429.40632231513,297723.7915006409,False
34,2021-02-23,29562.638751508046,149091.82624207917,118249.84416248807,296904.3091560753,False
35,2021-02-24,29565.917296340198,149091.82624207917,118151.90116621874,296809.6447046381,False
36,2021-02-25,29682.257509023708,59365.1799291801,207554.2857897993,296601.72322800313,True
37,2021-02-26,29892.336732515825,149236.35358121264,119569.34693006327,298698.03724379174,True
38,2021-03-01,30016.168524521498,60032.776224233225,209890.33258773806,299939.2773364928,True
39,2021-03-02,29884.455168105982,149198.47883622628,119537.82067242388,298620.75467675616,True
40,2021-03-03,29937.120801181176,149429.43623380555,119488.90327206688,298855.46030705364,False
41,2021-03-04,30160.949741750752,149429.43623380555,118836.67126730668,298427.057242863,False
42,2021-03-05,30276.155814102745,149429.43623380555,119244.3162702818,298949.9083181901,False
43,2021-03-08,30384.77868232033,150122.30842654346,119244.3162702818,299751.40337914554,False
44,2021-03-09,30269.57260996834,150584.22322170206,119570.43227266188,300424.2281043323,False
45,2021-03-10,29924.049446506542,239169.93687132263,29924.049446506542,299018.0357643357,True
46,2021-03-11,29803.427392958143,238802.54833542198,29895.268415162,298501.24414354214,False
47,2021-03-12,29818.983601933105,238551.57722528273,29818.983601933105,298189.54442914895,True
48,2021-03-15,29867.771205993857,238919.14514088407,29835.40374708836,298622.32009396626,False
49,2021-03-16,29880.781233743393,238919.14514088407,29769.723166467356,298569.6495410948,False
50,2021-03-17,29727.913407686363,239286.71305648543,29769.723166467356,298784.34963063913,False
51,2021-03-18,29874.27621986862,238919.14514088407,29679.41236811348,298472.8337288661,False
52,2021-03-19,29897.04376843031,238919.14514088407,29831.298710799543,298647.48762011394,False
53,2021-03-22,29858.013685181704,238919.14514088407,29720.46273100161,298497.6215570674,False
54,2021-03-23,30033.64905980042,239286.71305648543,29712.252658423986,299032.6147747098,False
55,2021-03-24,30095.44669161071,239286.71305648543,29806.668493066667,299188.8282411628,False
56,2021-03-25,30209.284434419136,239286.71305648543,29823.08863822192,299319.0861291265,False
57,2021-03-26,30173.506858107918,240389.41680328952,29806.668493066667,300369.5921544641,False
58,2021-03-29,30035.920419177877,150179.60209588934,119917.81619650981,300133.338711577,True
59,2021-03-30,30152.263558309616,150868.49935320992,120397.81849736538,301418.5814088849,False
60,2021-03-31,30256.79523595953,241829.0811989198,30257.1137178754,302342.9901527547,True
61,2021-04-01,30159.43345787535,241092.9196123173,30154.128306990868,301406.48137718346,False
62,2021-04-05,30210.57311336761,241687.7556029842,30210.96945037304,302109.29816672485,True
63,2021-04-06,30125.74861002554,241687.75560298422,30169.798873307936,301983.3030863177,False
64,2021-04-07,30100.53140113799,240803.70132133944,30100.53140113799,301004.7641236154,True
65,2021-04-08,29970.31062933986,240803.70132133944,30473.255357799248,301247.26730847853,False
66,2021-04-09,30170.117687712027,241363.8121467239,30170.536602677403,301704.46643711335,True
67,2021-04-12,30163.57035314438,241363.8121467239,30247.44030477706,301774.82280464534,False
68,2021-04-13,30068.634001913517,241363.8121467239,30352.676949755543,301785.12309839297,False
69,2021-04-14,30016.25532537235,240995.31777703427,30429.580651855205,301441.15375426185,False
70,2021-04-15,30009.707990804705,240626.8234073446,30368.86720282916,301005.3986009785,False
71,2021-04-16,29973.697650682654,240258.32903765494,30247.44030477706,300479.4669931147,False
72,2021-04-19,29813.28795377533,239889.83466796528,30178.631729214205,299881.75435095484,False
73,2021-04-20,29868.940297600315,239889.83466796528,30308.153753803104,300066.9287193687,False
74,2021-04-21,29842.750959329736,239521.34029827564,30538.864860102094,299902.9561177074,False
75,2021-04-22,29898.403303154722,239152.84592858597,30530.769733565285,299582.018965306,False
76,2021-04-23,29744.540940815048,239152.84592858597,30393.152582439576,299290.5394518406,False
77,2021-04-26,29918.03692008783,149592.56236175832,119450.76467069652,298961.36395254266,True
78,2021-04-27,29950.98267156904,149362.0653473334,119355.03813296121,298668.0861518637,False
79,2021-04-28,29818.634274647895,59637.26854929578,208506.18440004007,297962.0872239837,True
80,2021-04-29,29818.634274647895,59637.26854929578,207779.19488758186,297235.0977115255,False
81,2021-04-30,30039.123017215097,59545.235727460444,207219.97218569092,296804.3309303665,False
82,2021-05-03,29930.524084308865,59545.235727460444,207164.04991550182,296639.80972727115,False
83,2021-05-04,29605.267115956853,29605.267115956853,236766.24160342372,295976.7758353374,True
84,2021-05-05,29611.753098455694,29605.267115956853,236573.8529997373,295790.87321414985,False
85,2021-05-06,29495.005413476567,29605.267115956853,236637.98253429943,295738.25506373285,False
86,2021-05-07,29487.61728308276,29488.183612828583,235905.46890262858,294881.2697985399,True
87,2021-05-10,29481.081182609945,29351.24158366684,234848.02792547742,293680.3506917542,False
88,2021-05-11,29458.204830955114,29305.594240612925,235520.94491093725,294284.7439825053,False
89,2021-05-12,29644.4836944302,29351.24158366684,235136.4209192459,294132.14619734295,False
90,2021-05-13,29657.55589537582,29488.183612828583,236097.73089847426,295243.4704066787,False
91,2021-05-14,29517.029735210403,29442.53626977467,235328.68291509154,294288.24892007664,False
92,2021-05-17,29484.349232846354,29396.88892672076,234815.98425950314,293697.22241907025,False
