,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,2.5407898751446045
1,2021-04-01,2021-06-30,-0.5036553953280358
2,2021-07-01,2021-09-30,1.889843082499966
3,2021-10-01,2021-12-31,1.3899111766820935
4,2022-01-03,2022-03-31,1.1940376135844641
5,2022-04-01,2022-06-30,6.149878901295149
6,2022-07-01,2022-09-30,6.557561475770828
7,2022-10-03,2022-12-30,-6.54925329961676
8,2023-01-03,2023-03-31,-1.552054822108212
9,2023-04-03,2023-06-30,0.5694215632144242
10,2023-07-03,2023-09-29,3.0301781379934902
11,2023-10-02,2023-12-29,-5.04077802812492
