,Date,AUD,CAD,USD,Net,Adjusted
60,2021-03-31,240149.3123699693,30246.925832785848,30360.745456016597,300756.9836587718,False
61,2021-04-01,241982.51322775532,30246.925832785848,30263.049181890194,302492.48824243137,False
62,2021-04-05,150275.91074155315,30055.18214831064,119995.70645674987,300326.7993466137,True
63,2021-04-06,239577.40310152224,29974.73855022502,29975.134516490914,299527.2761682382,True
64,2021-04-07,238380.1724068373,29797.71929794176,29797.71929794176,297975.61100272083,True
65,2021-04-08,239744.31511124954,29967.613854803934,29967.291779358082,299679.2207454115,True
66,2021-04-09,239744.31511124957,29967.613854803934,29999.843693087558,299711.7726591411,False
67,2021-04-12,239744.31511124957,29729.77564960708,29993.333310341663,299467.4240711983,False
68,2021-04-13,239688.68938126377,29961.086172657982,29960.93088624236,299610.7064401641,True
69,2021-04-14,239688.68938126374,29723.299774462284,29908.73982536268,299320.72898108873,False
70,2021-04-15,236522.63303729496,29565.483579494816,29565.483579494816,295653.6001962846,True
71,2021-04-16,236522.63303729496,29565.483579494816,29530.0062892827,295618.1229060725,False
72,2021-04-19,238356.1418205298,29565.483579494816,29371.97108742874,297293.5964874533,False
73,2021-04-20,236411.93299490976,29551.49162436373,29551.180089201185,295514.6047084747,True
74,2021-04-21,236411.93299490976,29787.90355735864,29525.26936575603,295725.10591802443,False
75,2021-04-22,236434.9457778705,29554.36822223383,29554.375427235063,295543.68942733936,True
76,2021-04-23,238267.77481490825,29554.36822223383,29402.28349193669,297224.42652907874,False
77,2021-04-26,236434.9457778705,29554.36822223383,29386.103498819844,295375.4174989242,False
78,2021-04-27,234602.11674083275,29317.93327645596,29418.46348505354,293338.5135023423,False
79,2021-04-28,236434.9457778705,29317.93327645596,29321.38352635245,295074.2625806789,False
80,2021-04-29,234602.11674083275,29081.498330678085,29321.38352635245,293004.9985978633,False
81,2021-04-30,236434.9457778705,29081.498330678085,29538.195434118217,295054.6395426668,False
82,2021-05-03,236434.9457778705,29081.498330678085,29431.40747954702,294947.8515880956,False
83,2021-05-04,147528.93777064508,117800.93505813257,29505.787554129027,294835.6603829067,True
84,2021-05-05,148672.5729471617,117800.93505813259,29512.251742441902,295985.7597477362,False
85,2021-05-06,147528.93777064508,117800.93505813259,29395.89635281011,294725.76918158773,False
86,2021-05-07,233694.6702721506,29239.169204647318,29238.97936429399,292172.8188410919,True
87,2021-05-10,232080.2171276119,29010.066835003992,29010.093291979745,290100.37725459563,True
88,2021-05-11,233907.62041208125,29010.066835003992,28987.582411473835,291905.2696585591,False
89,2021-05-12,233907.62041208125,29010.066835003992,29170.88529559342,292088.5725426787,False
90,2021-05-13,235143.07134994975,29391.927474186075,29392.361407360426,293927.3602314962,True
91,2021-05-14,235143.07134994972,29634.835965708273,29253.091816118937,294030.9991317769,False
92,2021-05-17,235004.56189057746,29375.570236322194,29375.183311558318,293755.315438458,True
93,2021-05-18,235004.56189057746,29375.570236322194,29222.153648995332,293602.285775895,False
94,2021-05-19,233182.821100728,29375.570236322194,29365.415460756427,291923.80679780664,False
95,2021-05-20,236826.3026804269,29375.570236322194,29241.68935059912,295443.5622673482,False
96,2021-05-21,234952.1571464896,29369.01964331121,29368.872347086177,293690.049136887,True
97,2021-05-24,234952.1571464896,29369.01964331121,29306.885169281843,293628.06195908267,False
98,2021-05-25,234952.1571464896,29126.300472705334,29244.897991477505,293323.35561067244,False
99,2021-05-26,234957.24653500965,29369.65581687622,29369.657410297175,293696.55976218305,True
100,2021-05-27,234938.98147461785,29367.37268432724,29367.32134595144,293673.67550489656,True
101,2021-05-28,234954.56915550827,29369.321144438545,29369.326024737475,293693.2163246843,True
102,2021-06-01,234954.5691555083,29369.321144438545,29304.082603600655,293627.97290354746,False
103,2021-06-02,234954.5691555083,29369.321144438545,29326.917800998544,293650.8081009454,False
104,2021-06-03,234954.5691555083,29126.599482087815,29522.648064408993,293603.8167020051,False
105,2021-06-04,236775.9224047758,29369.321144438545,29405.209906362725,295550.453455577,False
106,2021-06-07,234954.5691555083,29369.321144438545,29343.228656282747,293667.1189562296,False
107,2021-06-08,234954.5691555083,29369.321144438545,29385.63688002168,293709.5271799685,False
108,2021-06-09,234954.5691555083,29369.321144438545,29398.68556424904,293722.5758641959,False
