,Date,AUD,CAD,USD
0,2021-01-04,300000.0,300000.0,300000.0
1,2021-01-05,300000.0,302362.20472440944,298531.3751668892
2,2021-01-06,297692.3076923077,300000.0,298831.77570093464
3,2021-01-07,295384.6153846154,300000.0,299833.1108144193
4,2021-01-08,297692.3076923077,300000.0,300734.3124165555
5,2021-01-11,300000.0,300000.0,302202.9372496663
6,2021-01-12,300000.0,302362.20472440944,300567.4232309747
7,2021-01-13,297692.3076923077,300000.0,301468.6248331109
8,2021-01-14,297692.3076923077,300000.0,301201.60213618167
9,2021-01-15,297692.3076923077,297637.79527559056,303004.00534045405
10,2021-01-19,300000.0,300000.0,302069.4259012017
11,2021-01-20,300000.0,300000.0,301969.2923898533
12,2021-01-21,297692.3076923077,297637.79527559056,300834.445927904
13,2021-01-22,297692.3076923077,297637.79527559056,301201.6021361817
14,2021-01-25,300000.0,300000.0,301702.26969292405
15,2021-01-26,300000.0,300000.0,300967.95727636863
16,2021-01-27,297692.3076923077,300000.0,302570.09345794405
17,2021-01-28,302307.6923076923,302362.20472440944,301935.9145527371
18,2021-01-29,300000.0,302362.20472440944,302336.44859813096
19,2021-02-01,302307.6923076923,302362.20472440944,303805.0734312418
20,2021-02-02,302307.6923076923,302362.20472440944,304405.8744993326
21,2021-02-03,302307.6923076923,302362.20472440944,304138.8518024034
22,2021-02-04,302307.6923076923,302362.20472440944,305507.3431241657
23,2021-02-05,304615.3846153846,302362.20472440944,303871.8291054742
24,2021-02-08,300000.0,302362.20472440944,303504.6728971965
25,2021-02-09,300000.0,300000.0,301869.1588785049
26,2021-02-10,297692.3076923077,300000.0,301635.5140186918
27,2021-02-11,297692.3076923077,300000.0,301802.40320427256
28,2021-02-12,297692.3076923077,300000.0,302002.6702269695
29,2021-02-16,295384.6153846154,297637.79527559056,302102.803738318
30,2021-02-17,297692.3076923077,300000.0,303571.4285714288
31,2021-02-18,297692.3076923077,300000.0,302369.82643524726
32,2021-02-19,297692.3076923077,300000.0,301602.1361815757
33,2021-02-22,293076.92307692306,297637.79527559056,300433.9118825103
34,2021-02-23,290769.23076923075,297637.79527559056,300967.95727636875
35,2021-02-24,290769.23076923075,297637.79527559056,301001.33511348494
36,2021-02-25,288461.53846153844,295275.5905511811,300834.4459279041
37,2021-02-26,293076.92307692306,297637.79527559056,303504.67289719655
38,2021-03-01,297692.3076923077,300000.0,303871.8291054743
39,2021-03-02,297692.3076923077,297637.79527559056,303037.3831775704
40,2021-03-03,295384.6153846154,297637.79527559056,303571.42857142887
41,2021-03-04,297692.3076923077,300000.0,305841.1214953274
42,2021-03-05,300000.0,300000.0,307009.3457943928
43,2021-03-08,300000.0,297637.79527559056,308110.8144192259
44,2021-03-09,302307.6923076923,300000.0,306942.5901201604
45,2021-03-10,300000.0,297637.79527559056,306375.16688918584
46,2021-03-11,297692.3076923077,297637.79527559056,305140.1869158881
47,2021-03-12,295384.6153846154,295275.5905511811,306008.01068090816
48,2021-03-15,297692.3076923077,295275.5905511811,306508.6782376505
49,2021-03-16,297692.3076923077,295275.5905511811,306642.1895861151
50,2021-03-17,297692.3076923077,292913.3858267717,305073.4312416559
51,2021-03-18,295384.6153846154,292913.3858267717,306575.4339118828
52,2021-03-19,297692.3076923077,295275.5905511811,306809.0787716959
53,2021-03-22,297692.3076923077,295275.5905511811,306408.54472630203
54,2021-03-23,297692.3076923077,295275.5905511811,308210.9479305744
55,2021-03-24,302307.6923076923,297637.79527559056,308845.1268357813
56,2021-03-25,304615.3846153846,297637.79527559056,310013.35113484674
57,2021-03-26,304615.3846153846,297637.79527559056,309646.19492656906
58,2021-03-29,302307.6923076923,297637.79527559056,310213.6181575437
59,2021-03-30,302307.6923076923,297637.79527559056,311415.22029372526
60,2021-03-31,302307.6923076923,297637.79527559056,311181.57543391216
61,2021-04-01,304615.3846153846,297637.79527559056,310180.2403204275
62,2021-04-05,302307.6923076923,297637.79527559056,309078.77169559436
63,2021-04-06,302307.6923076923,295275.5905511811,308210.94793057436
64,2021-04-07,300000.0,297637.79527559056,308611.4819759682
65,2021-04-08,302307.6923076923,297637.79527559056,307276.36849132203
66,2021-04-09,302307.6923076923,297637.79527559056,307610.1468624836
67,2021-04-12,302307.6923076923,295275.5905511811,307543.39118825126
68,2021-04-13,302307.6923076923,297637.79527559056,306575.43391188275
69,2021-04-14,302307.6923076923,295275.5905511811,306041.3885180243
70,2021-04-15,297692.3076923077,295275.5905511811,305974.63284379203
71,2021-04-16,297692.3076923077,295275.5905511811,305607.47663551435
72,2021-04-19,300000.0,295275.5905511811,303971.96261682274
73,2021-04-20,297692.3076923077,295275.5905511811,304539.3858477974
74,2021-04-21,297692.3076923077,297637.79527559056,304272.36315086816
75,2021-04-22,297692.3076923077,295275.5905511811,304839.7863818428
76,2021-04-23,300000.0,295275.5905511811,303271.0280373835
77,2021-04-26,297692.3076923077,295275.5905511811,303104.13885180274
78,2021-04-27,295384.6153846154,292913.3858267717,303437.9172229643
79,2021-04-28,297692.3076923077,292913.3858267717,302436.58210947964
80,2021-04-29,295384.6153846154,290551.1811023622,302436.58210947964
81,2021-04-30,297692.3076923077,290551.1811023622,304672.897196262
82,2021-05-03,297692.3076923077,290551.1811023622,303571.4285714289
83,2021-05-04,297692.3076923077,290551.1811023622,304706.2750333782
84,2021-05-05,300000.0,290551.1811023622,304773.03070761054
85,2021-05-06,297692.3076923077,290551.1811023622,303571.428571429
86,2021-05-07,295384.6153846154,288188.9763779528,301168.2242990658
87,2021-05-10,293076.92307692306,285826.77165354334,301101.46862483345
88,2021-05-11,295384.6153846154,285826.77165354334,300867.82376502035
89,2021-05-12,295384.6153846154,285826.77165354334,302770.3604806412
90,2021-05-13,297692.3076923077,285826.77165354334,302903.87182910583
91,2021-05-14,297692.3076923077,288188.9763779528,301468.6248331111
92,2021-05-17,297692.3076923077,285826.77165354334,301134.8464619496
93,2021-05-18,297692.3076923077,285826.77165354334,299566.0881174903
94,2021-05-19,295384.6153846154,285826.77165354334,301034.71295060107
95,2021-05-20,300000.0,285826.77165354334,299766.3551401872
96,2021-05-21,297692.3076923077,285826.77165354334,300467.2897196264
97,2021-05-24,297692.3076923077,285826.77165354334,299833.11081441946
98,2021-05-25,297692.3076923077,283464.5669291339,299198.93190921255
99,2021-05-26,297692.3076923077,285826.77165354334,300534.04539385875
100,2021-05-27,297692.3076923077,285826.77165354334,300300.40053404565
101,2021-05-28,297692.3076923077,285826.77165354334,300500.66755674256
102,2021-06-01,297692.3076923077,285826.77165354334,299833.11081441946
103,2021-06-02,297692.3076923077,285826.77165354334,300066.75567423255
104,2021-06-03,297692.3076923077,283464.5669291339,302069.42590120184
105,2021-06-04,300000.0,285826.77165354334,300867.82376502024
106,2021-06-07,297692.3076923077,285826.77165354334,300233.6448598133
107,2021-06-08,297692.3076923077,285826.77165354334,300667.55674232333
108,2021-06-09,297692.3076923077,285826.77165354334,300801.068090788
109,2021-06-10,297692.3076923077,285826.77165354334,300667.55674232333
110,2021-06-11,297692.3076923077,285826.77165354334,302269.69292389875
111,2021-06-14,300000.0,288188.9763779528,302136.1815754341
112,2021-06-15,300000.0,285826.77165354334,302202.9372496665
113,2021-06-16,300000.0,288188.9763779528,304172.2296395196
114,2021-06-17,302307.6923076923,290551.1811023622,306708.9452603474
115,2021-06-18,304615.3846153846,290551.1811023622,307843.7917222967
116,2021-06-21,306923.07692307694,292913.3858267717,306608.81174899894
117,2021-06-22,306923.07692307694,292913.3858267717,306174.89986648894
118,2021-06-23,304615.3846153846,290551.1811023622,306408.544726302
119,2021-06-24,304615.3846153846,290551.1811023622,306475.3004005343
120,2021-06-25,304615.3846153846,290551.1811023622,306441.92256341816
121,2021-06-28,304615.3846153846,290551.1811023622,306675.5674232312
122,2021-06-29,304615.3846153846,290551.1811023622,307242.99065420585
123,2021-06-30,306923.07692307694,292913.3858267717,308544.7263017359
124,2021-07-01,306923.07692307694,292913.3858267717,309078.77169559436
125,2021-07-02,309230.76923076925,292913.3858267717,307843.7917222967
126,2021-07-06,306923.07692307694,290551.1811023622,308911.8825100136
127,2021-07-07,306923.07692307694,295275.5905511811,309212.283044059
128,2021-07-08,309230.76923076925,295275.5905511811,308277.7036048067
129,2021-07-09,311538.46153846156,295275.5905511811,307510.01335113513
130,2021-07-12,309230.76923076925,292913.3858267717,307843.79172229674
131,2021-07-13,309230.76923076925,295275.5905511811,309579.4392523368
132,2021-07-14,309230.76923076925,295275.5905511811,308444.5927903875
