,Date,Govt,ESG,Shariah,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99257.33147137235,100725.35038111631,100000.0,299982.68185248866,True
2,2021-01-06,97219.75371334265,101524.46520776986,99951.02840352595,298695.2473246385,True
3,2021-01-07,96362.82848800306,103122.69486107696,99657.19882468169,299142.7221737617,False
4,2021-01-08,96051.79636917608,103737.39857388739,99853.08521057786,299642.28015364136,False
5,2021-01-11,95893.10651263171,103122.69486107696,99510.28403525954,298526.0854089682,False
6,2021-01-12,95816.9353814904,103294.81190066387,99461.31243878549,298573.0597209398,False
7,2021-01-13,96896.02640599213,103479.223014507,99853.08521057786,300228.334631077,False
8,2021-01-14,95988.32042655833,103085.81263830831,99510.28403525954,298584.41710012616,True
9,2021-01-15,96369.17608226482,102458.8148512417,99559.25563173357,298387.2465652401,True
10,2021-01-19,96680.2082010918,103307.10597492008,99853.08521057786,299840.39938658976,False
11,2021-01-20,96775.42211501842,104647.16006884682,99706.17042115572,301128.752605021,True
12,2021-01-21,96096.2295290085,104634.8659945906,99657.19882468169,300388.29434828076,False
13,2021-01-22,96407.26164783548,104352.1022866978,99804.11361410382,300563.4775486371,False
14,2021-01-25,97543.48102069314,104720.92451438407,99902.0568070519,302166.4623421291,False
15,2021-01-26,97359.4007871017,104376.69043521023,99608.22722820763,301344.3184505196,True
16,2021-01-27,97606.95696331092,101967.05188099336,99608.22722820763,299182.2360725119,False
17,2021-01-28,97067.41145106005,102815.34300467174,99657.19882468169,299539.95328041347,True
18,2021-01-29,96483.43277897677,100860.5851979346,99510.28403525954,296854.3020121709,True
19,2021-02-01,96483.43277897677,102594.04966805999,99853.08521057786,298930.56765761465,True
20,2021-02-02,95861.36854132285,103909.5156134743,99755.14201762977,299526.02617242694,False
21,2021-02-03,95010.79091024502,104093.92672731743,99510.28403525954,298615.001672822,True
22,2021-02-04,30017.816448566053,30017.816448566053,239792.6389372087,299828.2718343408,True
23,2021-02-05,29920.890402941295,29921.277200356904,239370.10057556798,299212.2681788662,True
24,2021-02-08,30052.273087274953,30171.86833196394,239252.76229097214,299476.90371021105,False
25,2021-02-09,30074.50708000834,30123.142278595908,239135.42400637624,299333.0733649805,False
26,2021-02-10,30274.61301460884,30130.103143362765,239487.43886016388,299892.1550181355,False
27,2021-02-11,29969.260280127495,29969.260280127495,239753.1228868276,299691.6434470826,True
28,2021-02-12,29597.05880645513,30128.06525338931,238930.440602412,298655.56466225645,False
29,2021-02-16,29697.440923788257,29698.82113034972,237590.56904279764,296986.8310969356,True
30,2021-02-17,29886.03515068054,29664.74330920187,237825.45838441185,297376.23684429424,False
31,2021-02-18,29765.08885299962,29531.83980672526,239117.34976329014,298414.278423015,False
32,2021-02-19,29671.237475823036,29671.62616593609,237375.9468727065,296718.8105144656,True
33,2021-02-22,29445.498320042716,29404.4993375724,236907.05611345178,295757.0537710669,False
34,2021-02-23,29548.172751909275,29548.11133536255,236389.1407712817,295485.4248585535,True
35,2021-02-24,29354.339072997827,29903.40615996474,236038.0677899382,295295.8130229008,False
36,2021-02-25,28874.965458485647,29127.27668874637,234165.67855610632,292167.92070333834,False
