,Date,Govt,ESG,Shariah,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,99257.33147137235,100725.35038111631,100000.0,299982.68185248866,True
2,2021-01-06,97219.75371334265,101524.46520776986,99951.02840352595,298695.2473246385,True
3,2021-01-07,96362.82848800306,103122.69486107696,99657.19882468169,299142.7221737617,False
4,2021-01-08,96051.79636917608,103737.39857388739,99853.08521057786,299642.28015364136,False
5,2021-01-11,95893.10651263171,103122.69486107696,99510.28403525954,298526.0854089682,False
6,2021-01-12,95816.9353814904,103294.81190066387,99461.31243878549,298573.0597209398,False
7,2021-01-13,96896.02640599213,103479.223014507,99853.08521057786,300228.334631077,False
8,2021-01-14,95988.32042655833,103085.81263830831,99510.28403525954,298584.41710012616,True
9,2021-01-15,96369.17608226482,102458.8148512417,99559.25563173357,298387.2465652401,True
10,2021-01-19,96680.2082010918,103307.10597492008,99853.08521057786,299840.39938658976,False
11,2021-01-20,96775.42211501842,104647.16006884682,99706.17042115572,301128.752605021,True
12,2021-01-21,96096.2295290085,104634.8659945906,99657.19882468169,300388.29434828076,False
13,2021-01-22,96407.26164783548,104352.1022866978,99804.11361410382,300563.4775486371,False
14,2021-01-25,97543.48102069314,104720.92451438407,99902.0568070519,302166.4623421291,False
15,2021-01-26,97359.4007871017,104376.69043521023,99608.22722820763,301344.3184505196,True
16,2021-01-27,97606.95696331092,101967.05188099336,99608.22722820763,299182.2360725119,False
17,2021-01-28,97067.41145106005,102815.34300467174,99657.19882468169,299539.95328041347,True
18,2021-01-29,96483.43277897677,100860.5851979346,99510.28403525954,296854.3020121709,True
19,2021-02-01,96483.43277897677,102594.04966805999,99853.08521057786,298930.56765761465,True
20,2021-02-02,95861.36854132285,103909.5156134743,99755.14201762977,299526.02617242694,False
21,2021-02-03,95010.79091024502,104093.92672731743,99510.28403525954,298615.001672822,True
22,2021-02-04,30017.816448566053,30017.816448566053,239792.6389372087,299828.2718343408,True
23,2021-02-05,29920.890402941295,29921.277200356904,239370.10057556798,299212.2681788662,True
24,2021-02-08,30052.273087274953,30171.86833196394,239252.76229097214,299476.90371021105,False
25,2021-02-09,30074.50708000834,30123.142278595908,239135.42400637624,299333.0733649805,False
26,2021-02-10,30274.61301460884,30130.103143362765,239487.43886016388,299892.1550181355,False
27,2021-02-11,29969.260280127495,119653.02270058448,149846.30140063743,299468.5843813494,True
28,2021-02-12,29597.05880645513,120287.05553599824,149332.12291543916,299216.2372578925,False
29,2021-02-16,29784.963688231845,29786.56311265222,238068.40774283704,297639.9345437211,True
30,2021-02-17,29974.113730291436,29752.384612236092,238303.76949048197,298030.2678330095,False
31,2021-02-18,29852.81098592713,29619.088460613206,239598.259102529,299070.1585490693,False
32,2021-02-19,29736.500384201543,29736.890754235646,237897.62347548603,297371.0146139232,True
33,2021-02-22,29510.26470737611,29469.176363788927,237427.70224392953,296407.1433150946,False
34,2021-02-23,29613.121278338524,29613.059728741846,236908.7363746505,296134.91738173086,True
35,2021-02-24,29418.86154222471,29969.135511144417,236556.89171666838,295944.8887700375,False
36,2021-02-25,28938.434237857222,29191.300064148512,234680.38687409688,292810.1211761026,False
