,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,2.348847096538404
1,2021-04-01,2021-06-30,-0.47215437175389025
2,2021-07-01,2021-09-30,1.7123106905241623
3,2021-10-01,2021-12-31,1.159583174593348
4,2022-01-03,2022-03-31,1.1889446919432813
5,2022-04-01,2022-06-30,6.533679657278883
6,2022-07-01,2022-09-30,7.60507939555724
7,2022-10-03,2022-12-30,-7.3186135533728605
8,2023-01-03,2023-03-31,-1.4691511823925203
9,2023-04-03,2023-06-30,0.5694215632146715
10,2023-07-03,2023-09-29,2.466380571519333
11,2023-10-02,2023-12-29,-5.076824492180329
