,start_period,end_period,AUD,CAD,USD
0,2021-01-04,2021-03-31,0.7692307692307707,-0.7874015748031477,3.7271918113040545
1,2021-04-01,2021-06-30,0.757575757575759,-1.5873015873015834,-0.5272785967932918
2,2021-07-01,2021-09-30,4.511278195488711,3.225806451612895,1.7818574514039411
3,2021-10-01,2021-12-31,0.0,-1.940255363782247e-14,1.7333049766056363
4,2022-01-03,2022-03-31,-3.6231884057970905,-1.5748031496063148,2.150872817955112
5,2022-04-01,2022-06-30,9.022556390977442,3.199999999999993,6.144175200243317
6,2022-07-01,2022-09-30,6.2068965517241494,6.201550387596886,6.638767357808657
7,2022-10-03,2022-12-30,-5.128205128205121,-1.4492753623188201,-7.364653243847876
8,2023-01-03,2023-03-31,1.3605442176870601,-0.7352941176470573,-1.9230769230769633
9,2023-04-03,2023-06-30,0.666666666666668,-1.4814814814814785,0.8032128514056933
10,2023-07-03,2023-09-29,4.000000000000075,1.5037593984962376,3.087678415380125
11,2023-10-02,2023-12-29,-5.806451612903265,-2.9411764705882293,-5.21047708138458
