,Date,AUD,CAD,USD,Net,Adjusted
0,2021-01-04,100000.0,100000.0,100000.0,300000.0,False
1,2021-01-05,100000.0,100787.40157480315,99510.45838896307,300297.85996376624,True
2,2021-01-06,99230.76923076923,100000.0,99610.59190031153,298841.3611310808,True
3,2021-01-07,98461.53846153845,100000.0,99944.37027147308,298405.9087330115,True
4,2021-01-08,99230.76923076923,100000.0,100244.77080551848,299475.54003628774,True
5,2021-01-11,100000.0,100000.0,100734.31241655542,300734.3124165554,True
6,2021-01-12,100000.0,100787.40157480315,100189.14107699155,300976.54265179473,True
7,2021-01-13,99230.76923076923,100000.0,100489.54161103694,299720.3108418062,True
8,2021-01-14,99230.76923076923,100000.0,100400.53404539387,299631.3032761631,True
9,2021-01-15,99230.76923076923,99212.59842519685,101001.33511348465,299444.7027694507,True
10,2021-01-19,100000.0,100000.0,100689.80863373388,300689.8086337339,True
11,2021-01-20,30065.64307966178,30065.64307966178,240175.69139755785,300306.9775568814,True
12,2021-01-21,29893.48685829707,29893.473208909403,239149.07944612388,298936.0395133303,True
13,2021-01-22,29893.486858297074,29893.4732089094,239440.9511729526,299227.91124015907,False
14,2021-01-25,30009.49003840184,30009.49003840184,240075.32827188302,300094.30834868667,True
15,2021-01-26,29950.99895941806,29950.99895941806,239607.69940273408,299509.6973215702,True
16,2021-01-27,29720.606659730227,29950.998959418055,240883.19785802203,300554.8034771703,False
17,2021-01-28,30074.653790880366,30074.653790880366,240596.68337591548,300745.9909576762,True
18,2021-01-29,29845.07628102632,30074.653790880366,240915.8476695824,300835.5777414891,False
19,2021-02-01,30074.653790880366,30074.653790880366,242086.11674636113,302235.4243281219,False
20,2021-02-02,30074.653790880366,30074.653790880366,242564.86318686153,302714.17076862225,False
21,2021-02-03,30074.653790880366,30074.653790880366,242352.08699108358,302501.3945728443,False
22,2021-02-04,30074.653790880366,30074.653790880366,243442.5649944456,303591.87257620634,False
23,2021-02-05,30304.231300734413,30074.653790880366,242139.31079530565,302518.19588692044,False
24,2021-02-08,30175.81895018465,30176.392535244424,241413.1788784141,301765.3903638432,True
25,2021-02-09,30022.871947410633,30022.66649470176,240182.79890346658,300228.33734557894,True
26,2021-02-10,29980.676457322275,29981.149217760154,239849.19374208114,299811.01941716357,True
27,2021-02-11,29994.338122530007,29994.339303692414,239954.97872671176,299943.6561529342,True
28,2021-02-12,29994.33812253001,29994.33930369241,240114.20565353773,300102.8830797601,False
29,2021-02-16,29761.823873518148,29758.16340366334,240193.8191169507,299713.8063941322,False
30,2021-02-17,29994.33812253001,29994.33930369241,241361.48324700768,301350.1606732301,False
31,2021-02-18,29994.33812253001,29994.33930369241,240406.12168605198,300394.7991122744,False
32,2021-02-19,29994.33812253001,29994.33930369241,239795.7517998858,299784.42922610824,False
33,2021-02-22,29529.309624506288,29758.16340366334,238866.9280600678,298154.4010882374,False
34,2021-02-23,29296.795375494425,29758.16340366334,239291.53319827028,298346.491977428,False
35,2021-02-24,29296.795375494425,29758.16340366334,239318.07101940794,298373.0297985657,False
36,2021-02-25,29064.281126482565,29521.987503634264,239185.38191371964,297771.65054383647,False
37,2021-02-26,30058.263195753312,30058.834972617176,240476.7045063216,300593.8026746921,True
38,2021-03-01,30159.66332357131,30159.66332357131,241276.03315451674,301595.35980165936,True
39,2021-03-02,30069.532712573662,30069.164575171013,240556.26170058918,300694.9589883339,True
40,2021-03-03,30087.949654836677,30088.53111373611,240708.63696811756,300885.1177366903,True
41,2021-03-04,30323.01176151509,30327.328979718142,242508.32771180442,303158.6684530376,False
42,2021-03-05,30432.004197190792,30431.742672702137,243455.98012482125,304319.7269947142,True
43,2021-03-08,30432.00419719079,30192.122651657235,244329.43602220318,304953.5628710512,False
44,2021-03-09,30666.096537169185,30431.742672702137,243403.04340376775,304500.88261363906,False
45,2021-03-10,30432.00419719079,30192.122651657235,242953.08127481348,303577.2081236615,False
46,2021-03-11,30236.282537555773,30236.268073587522,241891.02915535538,302363.57976649865,True
47,2021-03-12,30001.892750442938,29996.297692051114,242578.97126408864,302577.1617065827,False
48,2021-03-15,30320.6328453595,30320.033258222058,242566.75293744865,303207.4190410302,True
49,2021-03-16,30320.6328453595,30320.033258222054,242672.41198261364,303313.0780861952,False
50,2021-03-17,30182.902403944125,30182.63899514811,241463.13852944918,301828.6799285414,True
51,2021-03-18,29948.92641631665,30182.63899514811,242651.96142155255,302783.5268330173,False
52,2021-03-19,30344.179969343597,121151.09707421128,151722.91960253814,303218.19664609304,True
53,2021-03-22,30344.179969343597,121151.0970742113,151524.84790592905,303020.12494948396,False
54,2021-03-23,30391.02741983227,30391.14475842248,242902.51733760603,303684.68951586075,True
55,2021-03-24,30862.206139519592,30634.27391648986,243402.31675599617,304898.79681200563,False
56,2021-03-25,30605.506931098906,30605.506931098906,244842.7536240563,306053.7674862541,True
57,2021-03-26,30605.50693109891,30605.506931098906,244552.78050929913,305763.79437149694,False
58,2021-03-29,30373.647030105734,30605.506931098906,245000.9207775602,305980.07473876484,False
59,2021-03-30,30373.647030105734,30605.506931098906,245949.92369858368,306929.0776597883,False
60,2021-03-31,30373.647030105734,30605.506931098906,245765.39535282913,306744.54931403376,False
61,2021-04-01,30605.50693109891,30605.506931098906,244974.55958530956,306185.57344750734,False
62,2021-04-05,30508.042799768344,30508.37942022428,244067.03536179414,305083.4575817868,True
63,2021-04-06,30415.604217392538,30415.231063777985,243324.8337391402,304155.66902031074,True
64,2021-04-07,30447.640447755348,30448.302229375287,243586.41783500218,304482.3605121328,True
65,2021-04-08,30366.27707609207,30366.27707609207,242929.22322712882,303661.77737931296,True
66,2021-04-09,30366.277076092065,30366.277076092065,243193.10463406684,303925.658786251,False
67,2021-04-12,30366.277076092065,30125.274877075466,243140.32835267924,303631.88030584675,False
68,2021-04-13,30310.76264247432,30310.76264247432,242485.82374110896,303107.34902605764,True
69,2021-04-14,30310.76264247432,30070.201034200716,242063.42056420556,302444.3842408806,False
70,2021-04-15,30192.020750992535,30192.57589912478,241543.05928701445,301927.6559371317,True
71,2021-04-16,30192.020750992535,30192.57589912478,241253.21815554754,301637.8148056648,False
