,start_period,end_period,CNY,INR,USD
0,2021-01-04,2021-03-31,3.7271918113040545,0.6125574272588322,0.49254343959499
1,2021-04-01,2021-06-30,-0.5272785967932918,-1.374045801526666,1.489071038251329
2,2021-07-01,2021-09-30,1.7818574514039411,0.15479876160993827,-0.06723141051505743
3,2021-10-01,2021-12-31,1.7333049766056363,-1.240310077519413,0.2424242424242853
4,2022-01-03,2022-03-31,2.150872817955112,0.0,1.7715742853308045
5,2022-04-01,2022-06-30,6.144175200243317,5.678233438485808,3.938874983533213
6,2022-07-01,2022-09-30,6.638767357808657,6.268656716417867,3.1914893617021862
7,2022-10-03,2022-12-30,-7.364653243847876,-2.109704641350155,1.6192345436702071
8,2023-01-03,2023-03-31,-1.9230769230769633,-0.43478260869568447,-0.73751662435013
9,2023-04-03,2023-06-30,0.8032128514056933,5.531295487627371,-0.12168410805544995
10,2023-07-03,2023-09-29,3.087678415380125,0.8287292817679299,1.327649208282566
11,2023-10-02,2023-12-29,-5.21047708138458,-0.698324022346403,-0.8792002890521431
